method,alpha,beta_text,beta_visual_pos,beta_visual_neg,output_dir,recall@1,precision@1,recall@5,precision@5,recall@10,precision@10
hybrid_text_visual_fusion,1.0,0.5,0.25,0.0,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext0.50_bvpos0.25_bvneg0.00,0.048170731707317074,0.048170731707317074,0.13109756097560976,0.036219512195121956,0.19939024390243903,0.03030487804878049
hybrid_text_visual_fusion,2.0,1.0,0.5,0.0,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext1.00_bvpos0.50_bvneg0.00,0.048170731707317074,0.048170731707317074,0.13109756097560976,0.036219512195121956,0.19939024390243903,0.03030487804878049
hybrid_text_visual_fusion,1.0,0.5,1.0,0.25,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext0.50_bvpos1.00_bvneg0.25,0.048170731707317074,0.048170731707317074,0.1378048780487805,0.035487804878048784,0.1975609756097561,0.029146341463414636
hybrid_text_visual_fusion,3.0,2.0,0.5,0.5,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext2.00_bvpos0.50_bvneg0.50,0.05,0.05,0.12682926829268293,0.035,0.19695121951219513,0.029817073170731706
hybrid_text_visual_fusion,1.0,2.0,1.0,0.5,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext2.00_bvpos1.00_bvneg0.50,0.04024390243902439,0.04024390243902439,0.13658536585365855,0.03402439024390244,0.19573170731707318,0.02853658536585366
hybrid_text_visual_fusion,1.0,0.5,0.25,0.5,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext0.50_bvpos0.25_bvneg0.50,0.0475609756097561,0.0475609756097561,0.12134146341463414,0.033658536585365856,0.19329268292682927,0.029146341463414636
hybrid_text_visual_fusion,1.0,1.0,1.0,0.5,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext1.00_bvpos1.00_bvneg0.50,0.04390243902439024,0.04390243902439024,0.1298780487804878,0.033414634146341465,0.19329268292682927,0.028231707317073175
hybrid_text_visual_fusion,3.0,2.0,0.5,0.25,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext2.00_bvpos0.50_bvneg0.25,0.048170731707317074,0.048170731707317074,0.12682926829268293,0.0351219512195122,0.19146341463414634,0.02920731707317073
hybrid_text_visual_fusion,1.0,0.5,1.0,0.5,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext0.50_bvpos1.00_bvneg0.50,0.04451219512195122,0.04451219512195122,0.13048780487804879,0.033658536585365856,0.1902439024390244,0.027926829268292687
hybrid_text_visual_fusion,2.0,0.5,0.5,0.5,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext0.50_bvpos0.50_bvneg0.50,0.046341463414634146,0.046341463414634146,0.11951219512195121,0.03353658536585366,0.1902439024390244,0.029146341463414636
hybrid_text_visual_fusion,2.0,0.5,0.5,0.25,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext0.50_bvpos0.50_bvneg0.25,0.045121951219512194,0.045121951219512194,0.11890243902439024,0.033170731707317075,0.18597560975609756,0.028658536585365855
hybrid_text_visual_fusion,3.0,2.0,0.5,0.0,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext2.00_bvpos0.50_bvneg0.00,0.04695121951219512,0.04695121951219512,0.12439024390243902,0.03451219512195122,0.18597560975609756,0.02853658536585366
hybrid_text_visual_fusion,2.0,0.5,0.5,0.0,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext0.50_bvpos0.50_bvneg0.00,0.04207317073170732,0.04207317073170732,0.12195121951219512,0.03378048780487805,0.18353658536585366,0.028170731707317074
hybrid_text_visual_fusion,3.0,2.0,0.25,0.5,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext2.00_bvpos0.25_bvneg0.50,0.04878048780487805,0.04878048780487805,0.11707317073170732,0.0325609756097561,0.17926829268292682,0.0275
hybrid_text_visual_fusion,2.0,1.0,0.25,0.5,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext1.00_bvpos0.25_bvneg0.50,0.0475609756097561,0.0475609756097561,0.11402439024390244,0.03195121951219512,0.17865853658536585,0.027560975609756098
hybrid_text_visual_fusion,3.0,1.0,0.5,0.5,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext1.00_bvpos0.50_bvneg0.50,0.04573170731707317,0.04573170731707317,0.11646341463414635,0.03231707317073171,0.17560975609756097,0.027378048780487805
hybrid_text_visual_fusion,2.0,1.0,0.25,0.25,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext1.00_bvpos0.25_bvneg0.25,0.04695121951219512,0.04695121951219512,0.11219512195121951,0.03170731707317073,0.17378048780487804,0.027134146341463414
hybrid_text_visual_fusion,3.0,2.0,0.25,0.25,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext2.00_bvpos0.25_bvneg0.25,0.04695121951219512,0.04695121951219512,0.11829268292682926,0.03280487804878049,0.17073170731707318,0.026402439024390247
hybrid_text_visual_fusion,3.0,1.0,0.5,0.25,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext1.00_bvpos0.50_bvneg0.25,0.04390243902439024,0.04390243902439024,0.11646341463414635,0.0325609756097561,0.1701219512195122,0.026707317073170735
hybrid_text_visual_fusion,3.0,1.0,0.5,0.0,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext1.00_bvpos0.50_bvneg0.00,0.042682926829268296,0.042682926829268296,0.1152439024390244,0.03231707317073171,0.16890243902439026,0.026402439024390247
hybrid_text_visual_fusion,3.0,2.0,0.25,0.0,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext2.00_bvpos0.25_bvneg0.00,0.045121951219512194,0.045121951219512194,0.11707317073170732,0.032682926829268294,0.1676829268292683,0.025975609756097563
hybrid_text_visual_fusion,2.0,1.0,0.25,0.0,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext1.00_bvpos0.25_bvneg0.00,0.04390243902439024,0.04390243902439024,0.1152439024390244,0.032439024390243903,0.16646341463414635,0.025975609756097563
hybrid_text_visual_fusion,2.0,0.5,0.25,0.5,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext0.50_bvpos0.25_bvneg0.50,0.04390243902439024,0.04390243902439024,0.10975609756097561,0.030243902439024393,0.16341463414634147,0.025914634146341462
hybrid_text_visual_fusion,3.0,0.5,0.5,0.5,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext0.50_bvpos0.50_bvneg0.50,0.042682926829268296,0.042682926829268296,0.10975609756097561,0.030365853658536588,0.1628048780487805,0.02603658536585366
hybrid_text_visual_fusion,3.0,1.0,0.25,0.5,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext1.00_bvpos0.25_bvneg0.50,0.04390243902439024,0.04390243902439024,0.10609756097560975,0.029390243902439026,0.16219512195121952,0.025731707317073173
hybrid_text_visual_fusion,2.0,0.5,0.25,0.25,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext0.50_bvpos0.25_bvneg0.25,0.042682926829268296,0.042682926829268296,0.10853658536585366,0.030121951219512198,0.1603658536585366,0.025426829268292685
hybrid_text_visual_fusion,3.0,0.5,0.5,0.25,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext0.50_bvpos0.50_bvneg0.25,0.04207317073170732,0.04207317073170732,0.11158536585365854,0.030975609756097564,0.15853658536585366,0.025365853658536587
hybrid_text_visual_fusion,3.0,0.5,0.5,0.0,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext0.50_bvpos0.50_bvneg0.00,0.04207317073170732,0.04207317073170732,0.10975609756097561,0.030365853658536588,0.15670731707317073,0.02481707317073171
hybrid_text_visual_fusion,3.0,1.0,0.25,0.25,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext1.00_bvpos0.25_bvneg0.25,0.042682926829268296,0.042682926829268296,0.10670731707317073,0.029634146341463417,0.15670731707317073,0.02475609756097561
hybrid_text_visual_fusion,2.0,0.5,0.25,0.0,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext0.50_bvpos0.25_bvneg0.00,0.041463414634146344,0.041463414634146344,0.10670731707317073,0.029634146341463417,0.1548780487804878,0.024573170731707318
hybrid_text_visual_fusion,3.0,1.0,0.25,0.0,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext1.00_bvpos0.25_bvneg0.00,0.04207317073170732,0.04207317073170732,0.10548780487804878,0.02926829268292683,0.15365853658536585,0.024573170731707318
hybrid_text_visual_fusion,3.0,0.5,0.25,0.5,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext0.50_bvpos0.25_bvneg0.50,0.043292682926829265,0.043292682926829265,0.09878048780487805,0.027682926829268293,0.15060975609756097,0.024451219512195123
hybrid_text_visual_fusion,3.0,0.5,0.25,0.25,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext0.50_bvpos0.25_bvneg0.25,0.042682926829268296,0.042682926829268296,0.09939024390243903,0.027926829268292687,0.1469512195121951,0.023841463414634147
hybrid_text_visual_fusion,3.0,0.5,0.25,0.0,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext0.50_bvpos0.25_bvneg0.00,0.042682926829268296,0.042682926829268296,0.09817073170731708,0.027560975609756098,0.1445121951219512,0.02347560975609756
