method,alpha,beta_text,beta_visual_pos,beta_visual_neg,output_dir,recall@1,precision@1,recall@5,precision@5,recall@10,precision@10
hybrid_text_visual_fusion,3.0,2.0,0.5,0.0,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext2.00_bvpos0.50_bvneg0.00,0.048170731707317074,0.048170731707317074,0.12621951219512195,0.035243902439024394,0.19451219512195123,0.029695121951219514
hybrid_text_visual_fusion,2.0,0.5,0.5,0.5,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext0.50_bvpos0.50_bvneg0.50,0.046341463414634146,0.046341463414634146,0.1225609756097561,0.03402439024390244,0.19207317073170732,0.029390243902439026
hybrid_text_visual_fusion,1.0,0.5,1.0,0.5,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext0.50_bvpos1.00_bvneg0.50,0.045121951219512194,0.045121951219512194,0.12804878048780488,0.03304878048780488,0.19085365853658537,0.027682926829268293
hybrid_text_visual_fusion,2.0,0.5,0.5,0.25,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext0.50_bvpos0.50_bvneg0.25,0.04451219512195122,0.04451219512195122,0.12317073170731707,0.03402439024390244,0.18658536585365854,0.028902439024390242
hybrid_text_visual_fusion,2.0,0.5,0.5,0.0,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext0.50_bvpos0.50_bvneg0.00,0.04207317073170732,0.04207317073170732,0.12378048780487805,0.03402439024390244,0.1847560975609756,0.028353658536585367
hybrid_text_visual_fusion,2.0,1.0,0.25,0.5,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext1.00_bvpos0.25_bvneg0.50,0.046341463414634146,0.046341463414634146,0.11646341463414635,0.032439024390243903,0.18353658536585366,0.028597560975609754
hybrid_text_visual_fusion,3.0,2.0,0.25,0.5,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext2.00_bvpos0.25_bvneg0.50,0.04695121951219512,0.04695121951219512,0.11829268292682926,0.033414634146341465,0.18170731707317073,0.02804878048780488
hybrid_text_visual_fusion,3.0,1.0,0.5,0.5,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext1.00_bvpos0.50_bvneg0.50,0.04573170731707317,0.04573170731707317,0.1152439024390244,0.03195121951219512,0.18109756097560975,0.027926829268292687
hybrid_text_visual_fusion,2.0,1.0,0.25,0.25,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext1.00_bvpos0.25_bvneg0.25,0.045121951219512194,0.045121951219512194,0.11402439024390244,0.03182926829268293,0.1774390243902439,0.027682926829268293
hybrid_text_visual_fusion,3.0,1.0,0.5,0.25,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext1.00_bvpos0.50_bvneg0.25,0.043292682926829265,0.043292682926829265,0.11707317073170732,0.0325609756097561,0.17560975609756097,0.027073170731707317
hybrid_text_visual_fusion,3.0,2.0,0.25,0.25,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext2.00_bvpos0.25_bvneg0.25,0.04573170731707317,0.04573170731707317,0.11768292682926829,0.033414634146341465,0.17560975609756097,0.027256097560975613
hybrid_text_visual_fusion,3.0,2.0,0.25,0.0,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext2.00_bvpos0.25_bvneg0.00,0.04573170731707317,0.04573170731707317,0.11768292682926829,0.033170731707317075,0.17256097560975608,0.02676829268292683
hybrid_text_visual_fusion,3.0,1.0,0.5,0.0,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext1.00_bvpos0.50_bvneg0.00,0.042682926829268296,0.042682926829268296,0.1152439024390244,0.03231707317073171,0.1719512195121951,0.026707317073170735
hybrid_text_visual_fusion,2.0,1.0,0.25,0.0,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext1.00_bvpos0.25_bvneg0.00,0.043292682926829265,0.043292682926829265,0.1152439024390244,0.03231707317073171,0.16951219512195123,0.026585365853658536
hybrid_text_visual_fusion,2.0,0.5,0.25,0.5,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext0.50_bvpos0.25_bvneg0.50,0.045121951219512194,0.045121951219512194,0.11158536585365854,0.030731707317073174,0.16707317073170733,0.02646341463414634
hybrid_text_visual_fusion,3.0,0.5,0.5,0.5,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext0.50_bvpos0.50_bvneg0.50,0.043292682926829265,0.043292682926829265,0.11097560975609756,0.030731707317073174,0.16585365853658537,0.026402439024390247
hybrid_text_visual_fusion,3.0,1.0,0.25,0.5,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext1.00_bvpos0.25_bvneg0.50,0.04390243902439024,0.04390243902439024,0.10853658536585366,0.029756097560975612,0.1628048780487805,0.025914634146341462
hybrid_text_visual_fusion,3.0,0.5,0.5,0.25,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext0.50_bvpos0.50_bvneg0.25,0.041463414634146344,0.041463414634146344,0.11219512195121951,0.031219512195121955,0.16219512195121952,0.025975609756097563
hybrid_text_visual_fusion,3.0,0.5,0.5,0.0,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext0.50_bvpos0.50_bvneg0.00,0.041463414634146344,0.041463414634146344,0.11097560975609756,0.030731707317073174,0.16158536585365854,0.025365853658536587
hybrid_text_visual_fusion,2.0,0.5,0.25,0.25,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext0.50_bvpos0.25_bvneg0.25,0.04207317073170732,0.04207317073170732,0.11036585365853659,0.030243902439024393,0.1603658536585366,0.025609756097560974
hybrid_text_visual_fusion,3.0,1.0,0.25,0.25,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext1.00_bvpos0.25_bvneg0.25,0.04207317073170732,0.04207317073170732,0.11036585365853659,0.03048780487804878,0.15670731707317073,0.024878048780487806
hybrid_text_visual_fusion,2.0,0.5,0.25,0.0,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext0.50_bvpos0.25_bvneg0.00,0.04207317073170732,0.04207317073170732,0.10914634146341463,0.030365853658536588,0.15609756097560976,0.02481707317073171
hybrid_text_visual_fusion,3.0,1.0,0.25,0.0,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext1.00_bvpos0.25_bvneg0.00,0.04207317073170732,0.04207317073170732,0.10975609756097561,0.030243902439024393,0.15548780487804878,0.024695121951219513
hybrid_text_visual_fusion,3.0,0.5,0.25,0.5,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext0.50_bvpos0.25_bvneg0.50,0.043292682926829265,0.043292682926829265,0.1,0.02804878048780488,0.15121951219512195,0.024390243902439025
hybrid_text_visual_fusion,3.0,0.5,0.25,0.25,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext0.50_bvpos0.25_bvneg0.25,0.04207317073170732,0.04207317073170732,0.10121951219512196,0.028414634146341464,0.1469512195121951,0.02378048780487805
hybrid_text_visual_fusion,3.0,0.5,0.25,0.0,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext0.50_bvpos0.25_bvneg0.00,0.04207317073170732,0.04207317073170732,0.09817073170731708,0.027682926829268293,0.14573170731707316,0.02347560975609756
